"","scenario","nll_spa_obs","nll_spa_sim","nll_sim_obs","mae_spa_obs","mae_spa_sim","mae_sim_obs","weighting"
"1","01 Base",1528.42,278.21,1780.01,27.65,18.64,28.62,"none"
"2","01 Base",10574.291307125,5148.832830511,12001.342015046,193.523766425,120.171832494,206.322433078,"weighted"
"3","01 Base",3566.341120738,1322.23572869733,4128.73772971725,65.0801581957053,41.2482146142378,68.9495539955147,"root-weighted"
"4","02 MODIS-ChlA",1467.83,592.08,1780.01,26.22,20.19,28.62,"none"
"5","02 MODIS-ChlA",10324.474429731,7523.78382826,12001.342015046,186.669077377,143.017539965,206.322433078,"weighted"
"6","02 MODIS-ChlA",3453.20532351707,2074.3050814097,4128.73772971725,62.4015392489925,47.0652913469262,68.9495539955147,"root-weighted"
"7","03 MOM6-ChlA",1820.66,857.77,1780.01,29.98,21.84,28.62,"none"
"8","03 MOM6-ChlA",12721.993169623,7343.571399654,12001.342015046,211.766264941,137.540479711,206.322433078,"weighted"
"9","03 MOM6-ChlA",4278.61525088078,2341.90143231264,4128.73772971725,71.1466079874312,48.013831544879,68.9495539955147,"root-weighted"
"10","04 MOM6-Vint",1697.76,632.56,1780.01,28.41,19.8,28.62,"none"
"11","04 MOM6-Vint",11887.474305725,6206.748921238,12001.342015046,204.794261454,128.596143316,206.322433078,"weighted"
"12","04 MOM6-Vint",3990.63135504594,1891.98435207886,4128.73772971725,68.2266459919954,44.1697323961675,68.9495539955147,"root-weighted"
